0,Ht.no,Subcode,Subname,Grade,Credits
537,B2,s6,s6,D,3
538,B2,s3,s3 Lab,D,2
539,B2,s1,s1 Lab,A,2
540,B2,iv,iv,B,2
541,B3,s1,s1,B,3
542,B3,s2,s2,C,3
543,B3,s3,s3,A,3
544,B3,s4,s4,A,3
545,B3,s5,s5,O,3
546,B3,s6,s6,A,3
547,B3,s3,s3 Lab,A,2
548,B3,s1,s1 Lab,A,2
549,B3,iv,iv,O,2
550,B4,s1,s1,O,3
551,B4,s2,s2,B,3
552,B4,s3,s3,A,3
553,B4,s4,s4,O,3
554,B4,s5,s5,O,3
555,B4,s6,s6,B,3
556,B4,s3,s3 Lab,O,2
557,B4,s1,s1 Lab,O,2
558,B4,iv,iv,O,2
559,B5,s1,s1,C,3
560,B5,s2,s2,C,3
561,B5,s3,s3,B,3
562,B5,s4,s4,A,3
563,B5,s5,s5,A,3
564,B5,s6,s6,C,3
565,B5,s3,s3 Lab,A,2
566,B5,s1,s1 Lab,O,2
567,B5,iv,iv,A,2
568,B7,s1,s1,D,3
569,B7,s2,s2,C,3
570,B7,s3,s3,C,3
571,B7,s4,s4,C,3
572,B7,s5,s5,D,3
573,B7,s6,s6,D,3
574,B7,s3,s3 Lab,O,2
575,B7,s1,s1 Lab,O,2
576,B7,iv,iv,O,2
577,B8,s1,s1,C,3
578,B8,s2,s2,D,3
579,B8,s3,s3,C,3
580,B8,s4,s4,C,3
581,B8,s5,s5,B,3
582,B8,s6,s6,C,3
583,B8,s3,s3 Lab,A,2
584,B8,s1,s1 Lab,O,2
585,B8,iv,iv,A,2
586,C0,s1,s1,C,3
587,C0,s2,s2,D,3
588,C0,s3,s3,D,3
589,C0,s4,s4,C,3
590,C0,s5,s5,D,3
591,C0,s6,s6,D,3
592,C0,s3,s3 Lab,D,2
593,C0,s1,s1 Lab,O,2
594,C0,iv,iv,O,2
595,C5,s1,s1,B,3
596,C5,s2,s2,C,3
597,C5,s3,s3,B,3
598,C5,s4,s4,C,3
599,C5,s5,s5,A,3
600,C5,s6,s6,B,3
601,C5,s3,s3 Lab,B,2
602,C5,s1,s1 Lab,O,2
603,C5,iv,iv,O,2
604,C8,s1,s1,D,3
605,C8,s2,s2,D,3
606,C8,s3,s3,D,3
607,C8,s4,s4,D,3
608,C8,s5,s5,D,3
609,C8,s6,s6,C,3
610,C8,s3,s3 Lab,B,2
611,C8,s1,s1 Lab,A,2
612,C8,iv,iv,O,2
613,C9,s1,s1,B,3
614,C9,s2,s2,D,3
615,C9,s3,s3,A,3
616,C9,s4,s4,B,3
617,C9,s5,s5,F,0
